Categoria;Descrição ;Ref.;Saida; Rot ; Rot M ; Rot P ;CV; VC  ; Custo  ; VENDA ; MBR ; IPI ;NV;CL;EX;OR; IQ ;Fornecedor
Adornos de Parede;MONARCH WALL ADORNO PAREDE C/24;BR;34;29,7;45,1;40;A;7491,64;30,35;88,5;3,56;0;IN;U;NE;IMP;0;TERRA NOVA TRADING S/A
Adornos de Parede;NATURA ADORNO PAREDE C/24;CF;19;20,8;61;30;B;4754,91;32,06;88,5;3,37;0;IN;R;NE;IMP;0;TERRA NOVA TRADING S/A
Adornos de Parede;NOW PANIC AND FREAK OUT ADORNO PAREDE;PTBR;;0;0;15;C;;14,7;42;0;0;IN;U;EX;IMP;0;TERRA NOVA TRADING S/A
Adornos de Parede;PAPILA ADORNO PAREDE C/3;BR;14;15;23,99;20;A;5542,79;54,55;139,9;3,13;0;SU;U;NE;IMP;0;TERRA NOVA TRADING S/A
Adornos de Parede;PLUFF ADORNO PAREDE C/9;PT;10;29,6;40,6;25;B;3466,41;12,6;39,9;3,86;0;IN;U;NE;IMP;0;TERRA NOVA TRADING S/A
Adornos de Parede;PRISMA ADORNO PAREDE C/3;OR;;0;0;0;C;;0;;0;0;SU;U;NE;IMP;0;
Adornos de Parede;ROLINHA ADORNO PAREDE 19CM ;AG;14;17,9;22,9;25;C;759,66;7,02;17,5;3,28;0;ST;R;EX;IMP;0;TERRA NOVA TRADING S/A
Adornos de Parede;SWEET HOME ADORNO ;PT;12;12,3;20,7;15;B;2635,96;32,98;79,9;2,42;0;IN;U;EX;N;0;CREATTO FRANCA LTDA - ME
Adornos de Parede;TWEETY ADORNO PAREDE C/6;CR;22;27,5;57,4;12;X;8553,55;30,44;107,5;4,31;0;SU;U;NE;IMP;0;TERRA NOVA TRADING S/A
Adornos de Parede;UDALA ADORNO PAREDE ;PT;5;8,7;13,3;6;B;3675,26;89;199,9;2,25;0;SU;N;EX;N;0;FUSI IND. E COM DE MOV E DECORACOES LTDA
Adornos de Parede;VOLER ADORNO PAREDE ;BR;34;19,5;56,2;35;C;1616;13,93;34,9;2,51;0;ST;R;EX;N;0;KLEINER SCHEIN ARTES. EM MADEIRA LTD
Adornos de Parede;WALLFLOWER ADORNO PAREDE C/20;CR;18;17,9;49,7;15;B;4397,95;34,72;94,9;3,34;0;IN;U;NE;N;0;TERRA NOVA TRADING S/A
Adornos de Parede;WALLFLOWER ADORNO PAREDE C/25;BR;18;17,2;34,3;25;B;4043,08;34,93;88,5;3,69;0;IN;U;NE;N;0;SAINTE MARIE IMPORTAÇÃO E EXPORTAÇÃO LTDA
Adornos de Parede;WALLFLOWER ADORNO PAREDE C/25;RX;8;8,9;14,3;25;C;2053,37;30,19;88,5;3,66;0;IN;U;NE;IMP;0;TERRA NOVA TRADING S/A
Adornos de Parede;WALLFLUTTER ADORNO PAREDE C/20;NI;35;40,3;80,4;10;X;12255,74;29,49;94,9;3,93;0;IN;U;NE;IMP;0;TERRA NOVA TRADING S/A
Adornos de Parede;WEAVE ADORNO PAREDE C/3;CR;21;22,82;23,14;0;B;2894,53;61,02;159,9;2,79;0;SU;U;EX;IMP;0;TERRA NOVA TRADING S/A
Adornos de Parede;YOU ARE HERE ADORNO PAREDE;VM;;0;0;0;C;;0;;0;0;IN;U;NE;IMP;0;
Molduras;FREEDOM KIT MOLDURA 10X15;IN;56;59,84;72,04;70;B;2 552;4,19;13,9;3,32;3,99;ST;U;EX;IMP;0;TERRA NOVA TRADING S.A.
Molduras;FREEDOM KIT MOLDURA 20X25;IN;49;42,89;52,19;50;B;3 054;8,54;24,9;2,92;3,52;ST;U;EX;IMP;0;TERRA NOVA TRADING S.A.
Molduras;FREEDOM KIT MOLDURA 24X30;IN;41;31,03;39,23;50;B;2 788;10,55;29,9;2,83;3,42;ST;U;EX;IMP;0;TERRA NOVA TRADING S.A.
Molduras;FREEDOM KIT MOLDURA 30X40;IN;18;33,13;39,03;50;C;2 368;15,61;42;2,69;3,25;ST;U;EX;IMP;0;TERRA NOVA TRADING S.A.
Molduras;GRAPHICS KIT MOLDURA A3 29X42;BR;198;149;169,2;60;A;8 436;10,48;24,9;2,38;2,38;ST;U;EX;N;0;EDIO SCHMITZ EPP
Molduras;GRAPHICS KIT MOLDURA A3 29X42;PT;189;183,9;207,63;50;A;10 339;10,48;24,9;2,38;2,38;ST;U;EX;N;0;EDIO SCHMITZ EPP
Molduras;GRAPHICS KIT MOLDURA A4 21X29;BR;312;291,5;306,33;100;X;10 518;6,7;15,9;2,37;2,37;ST;U;EX;N;0;EDIO SCHMITZ EPP
Molduras;GRAPHICS KIT MOLDURA A4 21X29;PT;302;289,9;313,5;90;X;10 583;6,7;15,9;2,37;2,37;ST;U;EX;N;0;EDIO SCHMITZ EPP
Molduras;GRAPHICS KIT MOLDURA A5 14X21;BR;240;275;302,57;100;A;7 987;5,38;12,9;2,4;2,4;ST;U;EX;N;0;EDIO SCHMITZ EPP
Molduras;GRAPHICS KIT MOLDURA A5 14X21;PT;228;231,4;250,4;90;A;7 092;5,38;12,9;2,4;2,4;ST;U;EX;N;0;EDIO SCHMITZ EPP
